UPC,ITEM,NAME ,COST,CASE QTY,SKU
89382112303,AK702,AK ORIGINAL SALSA,$2.58,12,WCF-AK702
89382112525,AK704,AK CHICKEN WING SAUCE,$2.93,12,WCF-AK704
89382112655,AK705,AK ORIGINAL HOT SAUCE,$2.33,12,WCF-AK705
89382112808,AK712,AK STEAK SAUCE,$2.93,12,WCF-AK712
89382112808,AK713,AK MUSTARD,$2.65,12,WCF-AK713
89382112273,AK716,AK KETCHUP,$2.93,12,WCF-AK716
89382112341,AK718,AK TERIYAKI SAUCE,$2.93,12,WCF-AK718
89382112723,AK726,AK ROASTED CHILE SALSA,$2.58,12,WCF-AK726
89382116295,AK729,AK BBQ SAUCE AZ STYLE,$2.93,12,WCF-AK729
